Job,Firm,Functional area,Type
"Senior Director | Analytics | Strategic Communications | London
FTI Consulting",FTI Consulting,"Management
+6
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma
More",Job
"CyberArk Architect - Manager
PwC",PwC,Unknown,Job
"Full Stack Engineer
PA Consulting",PA Consulting,Unknown,Job
"Cyber | Azure IAM architect - Senior Manager
PwC",PwC,Cyber Security,Job
"Senior Consultant, Managed Document Review | Technology
FTI Consulting",FTI Consulting,IT Strategy,Job
"Cloud Economics - Managing Consultant / Senior Manager (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Cloud,Job
"Full Stack Engineer
PA Consulting",PA Consulting,Unknown,Job
"SAP Implementation Lead | Senior Manager | Technology Consulting | Advisory | Dublin/Cork
PwC",PwC,"IT Strategy
+1
ERP",Job
"Cloud Strategy - Managing Consultant / Senior Manager (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,"Strategy
+1
Cloud",Job
"Senior Consultant I |Regulated Industries & Energy Markets| Economic & Financial Consulting
FTI Consulting",FTI Consulting,Unknown,Job
"Director, Export Controls & Sanctions | Forensic & Litigation Consulting
FTI Consulting",FTI Consulting,Forensic & Litigation,Job
"Cloud Operating Model - Managing Consultant / Senior Manager (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Cloud,Job
"Solution Architect
PA Consulting",PA Consulting,Unknown,Job
"SAP Solution Architect | Senior Manager | Technology Consulting | Advisory | Dublin/Cork
PwC",PwC,"IT Strategy
+1
ERP",Job
"Manager/Senior Manager - Energy & Utilities - Equipment & Asset Management Advisory
Capgemini Invent",Capgemini Invent,"Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma",Job
"Third Party Risk Management Consultant
PA Consulting",PA Consulting,"Management
+1
Risk & Compliance",Job
"Technical Support Engineer | Technology
FTI Consulting",FTI Consulting,IT Strategy,Job
"Finance Transformation - Manager
PwC",PwC,Finance,Job
"Revenue Accountant | Finance & Accounting | Core Operations
FTI Consulting",FTI Consulting,Finance,Job
"Finance Transformation - Senior Associate
PwC",PwC,Finance,Job
"AWS Engineer
PA Consulting",PA Consulting,Unknown,Job
"Manager/Senior Manager - Energy & Utilities - Digital Engineering (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Digital,Job
"Advisory Senior Manager | Portfolio and Programme Management | Dublin/Cork
PwC",PwC,Management,Job
"Senior Revenue Accountant | Finance & Accounting | Core Operations
FTI Consulting",FTI Consulting,Finance,Job
"Digital Workplace - Low Code No Code Consultant (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Digital,Job
"GCP-Cloud Architect
PA Consulting",PA Consulting,Unknown,Job
"Consultant | Industrials & Special Situations | Strategic Communications
FTI Consulting",FTI Consulting,Unknown,Job
"Financial Services Advisory | Senior Associate | Banking (Risk)
PwC",PwC,Unknown,Job
"AWS Alliance Manager
PA Consulting",PA Consulting,Unknown,Job
"Senior Manager - Energy & Utilities - Transformation (Digital Strategy/Platform Architecture)
Capgemini Invent",Capgemini Invent,Unknown,Job
"Manager/Senior Manager - Energy & Utilities - Customer Experience (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Unknown,Job
"Team Assistant | Regional Leads | Core Operations
FTI Consulting",FTI Consulting,Unknown,Job
"Software Engineer - C ++
PA Consulting",PA Consulting,Software,Job
"Financial Services Advisory | Senior Associate | Banking (Digital Banking)
PwC",PwC,Unknown,Job
"Consultant - Valuations, Disputes and Arbitration | Energy |Economic and Financial Consulting
FTI Consulting",FTI Consulting,"Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma",Job
"Manager/Senior Manager - Energy & Utilities - Sector Transformation
Capgemini Invent",Capgemini Invent,Unknown,Job
"Hardware Engineer
PA Consulting",PA Consulting,Unknown,Job
"Financial Services Advisory | Senior Associate | Banking (Retail Banking Operations)
PwC",PwC,Unknown,Job
"Finance Associate - Accounts Payable, 12 month contract
PA Consulting",PA Consulting,Finance,Job
"Financial Services Advisory | Manager | Banking (Risk)
PwC",PwC,Unknown,Job
"Benefits Advisor | Human Resources | Core Operations
FTI Consulting",FTI Consulting,Human Resources,Job
"DevOps Engineer Consultant (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Software,Job
"Cloud Operating Model - Consultant / Senior Consultant (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Cloud,Job
"Financial Services Advisory | Manager | Banking (Transaction Enablement and Migration)
PwC",PwC,Unknown,Job
"Marketing Executive | Forensic & Litigation Consulting
FTI Consulting",FTI Consulting,"Marketing
+1
Forensic & Litigation",Job
"PR Manager
PA Consulting",PA Consulting,Unknown,Job
"Cloud Strategy - Consultant / Senior Consultant (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,"Strategy
+1
Cloud",Job
"Executive Assistant, Business Transformation, London
FTI Consulting",FTI Consulting,Unknown,Job
"Financial Services Advisory | Manager | Banking (Corporate Banking Operations)
PwC",PwC,Unknown,Job
"Lead Software Engineer
PA Consulting",PA Consulting,Software,Job
"Cloud Economics - Consultant / Senior Consultant (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Cloud,Job
"Director, Managed Document Review | Technology
FTI Consulting",FTI Consulting,IT Strategy,Job
"Advisory - Asset & Wealth Management - Senior Manager
PwC",PwC,Management,Job
"Dynamics 365 CRM Developer
PA Consulting",PA Consulting,"CRM
+1
Software",Job
"EMEA Benefits Manager | Human Resources | Core Operations
FTI Consulting",FTI Consulting,Human Resources,Job
"Commercial & Procurement Specialist
PA Consulting",PA Consulting,Procurement,Job
"Cloud Security Senior Manager | Cyber Advisory | Dublin or Cork
PwC",PwC,"Cyber Security
+1
Cloud",Job
"Manager/Senior Manager - Energy & Utilities - Water (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Unknown,Job
"AWS DevOps Engineer
PA Consulting",PA Consulting,Software,Job
"Senior Consultant, Transaction Advisory Services | Corporate Finance & Restructuring
FTI Consulting",FTI Consulting,"Corporate Finance
+2
Restructuring
Finance",Job
"Strategy& - Strategy Senior Manager I Dublin
PwC",PwC,Strategy,Job
"Manager/Senior Manager - Energy & Utilities - Water (Glasgow)
Capgemini Invent",Capgemini Invent,Unknown,Job
"AWS Engineer
PA Consulting",PA Consulting,Unknown,Job
"HR Business Partner (15 month FTC maternity cover)
FTI Consulting",FTI Consulting,Human Resources,Job
"Management Consultant -Retail Commercial Transformation - London/Manchester/Glasgow
Capgemini Invent",Capgemini Invent,Management,Job
"Financial Services - Advisory | Senior Manager | Dublin or Cork
PwC",PwC,Unknown,Job
"AWS Data Engineer
PA Consulting",PA Consulting,Data Science,Job
"Operations, Project Delivery & Customer Service Specialist - Advisory Operate - Dublin/Cork, Ireland
PwC",PwC,Unknown,Job
"Senior Director | Sustainability Communications | Strategic Communications | London
FTI Consulting",FTI Consulting,Unknown,Job
"Full Stack Engineer Consultant (London/Manchester/Glasgow)
Capgemini Invent",Capgemini Invent,Unknown,Job
"GCP Cloud Architect
PA Consulting",PA Consulting,Cloud,Job
"Technical Business Analyst | Senior Associate | Technology Consulting | Advisory Dublin/Cork
PwC",PwC,IT Strategy,Job
"Executive Assistant (9-month Fixed Term Maternity Contract) | Financial & Professional Services | Strategic Communications 
FTI Consulting",FTI Consulting,"Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma",Job
"Technology Consulting | Senior Associate | Advisory | Dublin/Cork
PwC",PwC,IT Strategy,Job
"Senior Legal Counsel | Legal & Risk | Core Operations
FTI Consulting",FTI Consulting,Risk & Compliance,Job
"Support Engineer
PA Consulting",PA Consulting,Unknown,Job
"Technology Consulting | Senior Associate, Manager & Senior Manager | Advisory | Cork
PwC",PwC,IT Strategy,Job
"Legal Counsel (12 month FTC)| Legal & Risk | Core Operations
FTI Consulting",FTI Consulting,Risk & Compliance,Job
"QA Engineer
PA Consulting",PA Consulting,Unknown,Job
"Senior Support Enginner
PA Consulting",PA Consulting,Unknown,Job
"Sustainable Finance Regulation Implementation | Manager Consulting | Dublin or Cork
PwC",PwC,Finance,Job
"Director, Forensic Accounting Advisory Services | Forensic and Litigation Consulting
FTI Consulting",FTI Consulting,Forensic & Litigation,Job
"Supply Chain Senior Manager | Advisory Consulting | Dublin/Cork
PwC",PwC,Supply Chain,Job
"Lead Software Engineer
PA Consulting",PA Consulting,Software,Job
"Senior Consultant | Forensic Accounting Advisory Services | Forensic & Litigation Consulting
FTI Consulting",FTI Consulting,Forensic & Litigation,Job
"DevOps Engineer
PA Consulting",PA Consulting,Software,Job
"Director | Financial Services, Strategic Communications
FTI Consulting",FTI Consulting,Unknown,Job
"Advisory Senior Associates | Portfolio and Programme Management Dublin
PwC",PwC,Management,Job
"Marketing Executive | Communications & Marketing | Core Operations
FTI Consulting",FTI Consulting,Marketing,Job
"Pre-Sales Application Engineer
PA Consulting",PA Consulting,Unknown,Job
"Technology Solution Architect | Manager | Advisory Consulting - Dublin/Cork
PwC",PwC,IT Strategy,Job
"Consultant | Financial Services, Strategic Communications
FTI Consulting",FTI Consulting,Unknown,Job
"MC - AWS Pre-Sales - Alliance
PA Consulting",PA Consulting,Unknown,Job
"Consultant | Energy | Strategic Communications 
FTI Consulting",FTI Consulting,"Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma",Job
"IT Sourcing Consultant
PA Consulting",PA Consulting,"Procurement
+1
Supply Chain",Job
"Consultant | Technology, Media & Telecom, Strategic Communications
FTI Consulting",FTI Consulting,Unknown,Job
"MC - Intellectual Property Advisory - Networks
PA Consulting",PA Consulting,Property Management,Job
"Cloud security Architect
PA Consulting",PA Consulting,"Cyber Security
+1
Cloud",Job
"Consultant - Economics, Econometrics and Disputes | Economic & Financial Consulting
FTI Consulting",FTI Consulting,Unknown,Job
"Executive Assistant (12 Months FTC)| People and Transformation, Strategic Communications
FTI Consulting",FTI Consulting,"Management
+6
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma
More",Job
"Operational Resilience Consultant - Financial Services
PA Consulting",PA Consulting,Unknown,Job
"Digital Campaigns and Social Media Lead
PA Consulting",PA Consulting,"Digital
+1
Social Media",Job
"Director | Financial Services, Strategic Communications
FTI Consulting",FTI Consulting,Unknown,Job
"Lead Software Engineer
PA Consulting",PA Consulting,Software,Job
"Senior HR Advisor | Human Resources | Core Operations
FTI Consulting",FTI Consulting,Human Resources,Job
"Executive Assistant (12 months fixed term contract)| Economic and Financial Consulting
FTI Consulting",FTI Consulting,Unknown,Job
"Data Privacy Specialist
PA Consulting",PA Consulting,Data Science,Job
"DevOps Engineer
PA Consulting",PA Consulting,Software,Job
"Senior Advisor | Human Resources | Core Operations
FTI Consulting",FTI Consulting,Human Resources,Job
"Workday HCM Lead
PA Consulting",PA Consulting,"Human Resources
+1
ERP",Job
"Consultant | Financial Services, Strategic Communications
FTI Consulting",FTI Consulting,Unknown,Job
"Senior Consultant, e-Discovery | Technology
FTI Consulting",FTI Consulting,IT Strategy,Job
"Customer Success & Support Manager
PA Consulting",PA Consulting,Unknown,Job
"Senior Consultant, Restructuring Tax
FTI Consulting",FTI Consulting,"Restructuring
+1
Finance",Job
"Service Desk Analyst
PA Consulting",PA Consulting,Unknown,Job
"Sourcing and Procurement Consultant
PA Consulting",PA Consulting,"Procurement
+1
Supply Chain",Job
"Consultant/Senior Consultant, Data Science 
FTI Consulting",FTI Consulting,"Management
+6
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma
More",Job
"Accounts Assistant
PA Consulting",PA Consulting,Unknown,Job
"Senior Director | ESG, Strategic Communications
FTI Consulting",FTI Consulting,Unknown,Job
"UX/UI Designer
PA Consulting",PA Consulting,Unknown,Job
"Project Assistant, Business Intelligence | Forensic & Litigation Consulting
FTI Consulting",FTI Consulting,"Forensic & Litigation
+1
Business Intelligence",Job
"Senior Consultant/Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting
FTI Consulting",FTI Consulting,Unknown,Job
"Lead UX/UI Designer
PA Consulting",PA Consulting,Unknown,Job
"Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting
FTI Consulting",FTI Consulting,Unknown,Job
"Hydrogen Technology Expert
PA Consulting",PA Consulting,IT Strategy,Job
"Global Data Privacy Director
FTI Consulting",FTI Consulting,Data Science,Job
"Penetration Tester
PA Consulting",PA Consulting,Unknown,Job
"Penetration Tester
PA Consulting",PA Consulting,Unknown,Job
"Manager, Risk and Compliance | Legal |Core Operations
FTI Consulting",FTI Consulting,Risk & Compliance,Job
"Senior/Principal Fraud Consultant
PA Consulting",PA Consulting,Unknown,Job
"Senior Consultant, Life Actuarial Consulting | Forensic & Litigation Consulting
FTI Consulting",FTI Consulting,Forensic & Litigation,Job
"Senior Financial Crime Transformation Consultant
PA Consulting",PA Consulting,Unknown,Job
"Director, Digital Forensics | Technology
FTI Consulting",FTI Consulting,"Digital
+2
Forensic & Litigation
IT Strategy",Job
"Consultant | Digital and Insights | Strategic Communications
FTI Consulting",FTI Consulting,Digital,Job
"Digital Delivery Lead
PA Consulting",PA Consulting,Digital,Job
"Senior Recruiter | Core Operations
FTI Consulting",FTI Consulting,Unknown,Job
"AWS DevOps Engineer
PA Consulting",PA Consulting,Software,Job
"Java Engineer
PA Consulting",PA Consulting,Software,Job
